,phi0,p,m,P[N],xc,yc,small_delta_v,safety_ratio
236,67.2,0.8957117602394129,0.5922331990877636,0.7574746791362127,1.669502602600505,1.7100576126519695,1.9740797387927027,1.4878443928486758
237,67.4,0.8964864303834406,0.5916519385115312,0.7610042640157322,1.6645755949841756,1.7136743234883394,1.9832783063342005,1.4825278167349558
238,67.6,0.8972583696743284,0.5910739505333167,0.7645531981059586,1.6596363778974403,1.7172789784548381,1.9925273004917552,1.4772370024740427
239,67.8,0.8980275757606155,0.5904992197858911,0.7681216801055607,1.654684959773179,1.7208715550098208,2.0018272391005207,1.4719716942849168
240,68.0,0.898794046299167,0.5899277310355961,0.7717099111614908,1.6497213488072517,1.7244520307118314,2.011178646376201,1.4667316390855176
241,68.2,0.8995577789551804,0.5893594691810248,0.7753180949104642,1.6447455529535757,1.7280203832196908,2.020582053023156,1.461516586449167
242,68.4,0.9003187714021935,0.5887944192517195,0.7789464375210546,1.6397575799195019,1.7315765902927251,2.0300379963441033,1.456326288561848
243,68.6,0.9010770213220916,0.5882325664068871,0.7825951477367908,1.6347574371608342,1.7351206297909827,2.0395470203524364,1.4511605001800396
244,68.8,0.9018325264051137,0.5876738959341314,0.7862644369199693,1.629745131877057,1.738652479675494,2.0491096758864065,1.4460189785893425
245,69.0,0.9025852843498605,0.5871183932482014,0.7899545190965919,1.6247206710060667,1.7421721180083702,2.0587265207262337,1.4409014835635996
246,69.2,0.9033352928633008,0.5865660438897558,0.7936656110019165,1.6196840612193693,1.7456795229531894,2.0683981197128203,1.4358077773248263
247,69.4,0.9040825496607783,0.5860168335241455,0.7973979321273131,1.6146353089165522,1.7491746727749775,2.078125044869864,1.4307376245035626
248,69.6,0.9048270524660195,0.5854707479402086,0.8011517047677211,1.6095744202202482,1.7526575458406772,2.0879078755275358,1.425690792100026
249,69.8,0.9055687990111395,0.5849277730490845,0.8049271540704864,1.604501400970453,1.7561281206190378,2.097747198449758,1.4206670494456328
